date;heure;GEN;A1;GON;RUR-SE;RUR_S;RN6;PA04C;BOB;AUT;VITRY;RUR_N;BP_EST;RAMBO
03/09/2012;8;11;29;n/d;n/d;n/d;16;14;10;31;12;n/d;n/d;n/d
03/09/2012;9;13;31;n/d;n/d;n/d;14;n/d;n/d;26;12;n/d;n/d;n/d
03/09/2012;10;9;27;n/d;n/d;n/d;n/d;n/d;n/d;27;12;n/d;n/d;n/d
03/09/2012;11;7;26;n/d;n/d;n/d;n/d;n/d;8;29;8;n/d;n/d;n/d
03/09/2012;12;6;19;n/d;n/d;n/d;11;7;6;33;10;n/d;n/d;n/d
03/09/2012;13;4;18;n/d;n/d;n/d;10;9;4;30;9;n/d;n/d;n/d
03/09/2012;14;5;18;n/d;n/d;n/d;9;7;5;29;9;n/d;n/d;n/d
03/09/2012;15;5;26;n/d;n/d;n/d;15;7;5;29;10;n/d;n/d;n/d
03/09/2012;16;5;22;n/d;n/d;n/d;17;7;6;31;9;n/d;n/d;n/d
03/09/2012;17;8;17;n/d;n/d;n/d;18;11;7;31;10;n/d;n/d;n/d
03/09/2012;18;9;16;n/d;n/d;n/d;14;12;9;32;11;n/d;n/d;n/d
03/09/2012;19;10;20;n/d;n/d;n/d;16;13;10;33;11;n/d;n/d;n/d
03/09/2012;20;10;25;n/d;n/d;n/d;16;15;13;30;11;n/d;n/d;n/d
03/09/2012;21;12;28;n/d;n/d;n/d;16;17;14;31;15;n/d;n/d;n/d
03/09/2012;22;14;26;n/d;n/d;n/d;16;16;15;30;18;n/d;n/d;n/d
03/09/2012;23;14;24;n/d;n/d;n/d;14;19;16;28;20;n/d;n/d;n/d
03/09/2012;24;13;22;n/d;n/d;n/d;14;21;14;26;22;n/d;n/d;n/d
04/09/2012;1;15;25;n/d;n/d;n/d;15;22;16;27;23;n/d;n/d;n/d
04/09/2012;2;19;30;n/d;n/d;n/d;21;23;15;28;22;n/d;n/d;n/d
04/09/2012;3;23;33;n/d;n/d;n/d;22;23;18;29;25;n/d;n/d;n/d
04/09/2012;4;26;38;n/d;n/d;n/d;22;28;23;33;26;n/d;n/d;n/d
04/09/2012;5;27;43;n/d;n/d;n/d;25;29;24;41;29;n/d;n/d;n/d
04/09/2012;6;32;52;n/d;n/d;n/d;25;32;23;54;33;n/d;n/d;n/d
04/09/2012;7;38;52;n/d;n/d;n/d;31;34;32;45;36;n/d;n/d;n/d
04/09/2012;8;35;53;n/d;n/d;n/d;33;37;28;48;41;n/d;n/d;n/d
04/09/2012;9;30;49;n/d;n/d;n/d;36;34;30;44;n/d;n/d;n/d;n/d
04/09/2012;10;27;47;n/d;n/d;n/d;37;30;31;42;n/d;n/d;n/d;n/d
04/09/2012;11;25;47;n/d;n/d;n/d;33;30;28;45;15;n/d;n/d;n/d
04/09/2012;12;25;42;n/d;n/d;n/d;26;30;22;45;12;n/d;n/d;n/d
04/09/2012;13;23;38;n/d;n/d;n/d;27;25;19;45;15;n/d;n/d;n/d
04/09/2012;14;30;36;n/d;n/d;n/d;24;22;17;42;15;n/d;n/d;n/d
04/09/2012;15;30;35;n/d;n/d;n/d;20;21;18;43;14;n/d;n/d;n/d
04/09/2012;16;13;33;n/d;n/d;n/d;19;21;n/d;40;14;n/d;n/d;n/d
04/09/2012;17;14;33;n/d;n/d;n/d;21;19;n/d;39;14;n/d;n/d;n/d
04/09/2012;18;13;27;n/d;n/d;n/d;22;16;9;38;12;n/d;n/d;n/d
04/09/2012;19;13;26;n/d;n/d;n/d;18;17;11;36;12;n/d;n/d;n/d
04/09/2012;20;15;33;n/d;n/d;n/d;22;23;14;34;12;n/d;n/d;n/d
04/09/2012;21;15;32;n/d;n/d;n/d;26;25;15;36;14;n/d;n/d;n/d
04/09/2012;22;15;30;n/d;n/d;n/d;16;21;16;35;15;n/d;n/d;n/d
04/09/2012;23;14;26;n/d;n/d;n/d;18;21;17;31;15;n/d;n/d;n/d
04/09/2012;24;14;21;n/d;n/d;n/d;22;18;13;26;14;n/d;n/d;n/d
05/09/2012;1;16;21;n/d;n/d;n/d;22;22;12;24;13;n/d;n/d;n/d
05/09/2012;2;16;24;n/d;n/d;n/d;24;23;12;25;14;n/d;n/d;n/d
05/09/2012;3;20;28;n/d;n/d;n/d;23;26;21;28;14;n/d;n/d;n/d
05/09/2012;4;23;39;n/d;n/d;n/d;28;29;25;33;14;n/d;n/d;n/d
05/09/2012;5;25;44;n/d;n/d;n/d;31;31;26;39;16;n/d;n/d;n/d
05/09/2012;6;32;54;n/d;n/d;n/d;37;34;32;47;17;n/d;n/d;n/d
05/09/2012;7;37;58;n/d;n/d;n/d;41;39;38;51;21;n/d;n/d;n/d
05/09/2012;8;40;64;n/d;n/d;n/d;44;47;48;53;22;n/d;n/d;n/d
05/09/2012;9;46;69;n/d;n/d;n/d;45;52;45;53;23;n/d;n/d;n/d
05/09/2012;10;39;57;n/d;n/d;n/d;45;43;38;56;24;n/d;n/d;n/d
05/09/2012;11;30;50;n/d;n/d;n/d;39;34;n/d;53;19;n/d;n/d;n/d
05/09/2012;12;29;46;n/d;n/d;n/d;35;30;n/d;54;18;n/d;n/d;n/d
05/09/2012;13;26;37;n/d;n/d;n/d;21;25;n/d;56;22;n/d;n/d;n/d
05/09/2012;14;20;32;n/d;n/d;n/d;17;22;n/d;50;14;n/d;n/d;n/d
05/09/2012;15;15;31;n/d;n/d;n/d;14;22;n/d;45;15;n/d;n/d;n/d
05/09/2012;16;15;33;n/d;n/d;n/d;16;18;n/d;44;11;n/d;n/d;n/d
05/09/2012;17;17;31;n/d;n/d;n/d;21;23;n/d;42;16;n/d;n/d;n/d
05/09/2012;18;14;28;n/d;n/d;n/d;20;24;25;39;17;n/d;n/d;n/d
05/09/2012;19;16;26;n/d;n/d;n/d;23;21;21;37;10;n/d;n/d;n/d
05/09/2012;20;17;27;n/d;n/d;n/d;25;22;17;36;15;n/d;n/d;n/d
05/09/2012;21;15;19;n/d;n/d;n/d;20;17;14;28;14;n/d;n/d;n/d
05/09/2012;22;10;19;n/d;n/d;n/d;23;14;14;25;13;n/d;n/d;n/d
05/09/2012;23;11;18;n/d;n/d;n/d;20;13;15;22;12;n/d;n/d;n/d
05/09/2012;24;10;16;n/d;n/d;n/d;14;13;13;19;12;n/d;n/d;n/d
06/09/2012;1;9;13;n/d;n/d;n/d;12;13;10;17;12;n/d;n/d;n/d
06/09/2012;2;8;12;n/d;n/d;n/d;7;10;9;15;13;n/d;n/d;n/d
06/09/2012;3;7;13;n/d;n/d;n/d;11;9;9;15;11;n/d;n/d;n/d
06/09/2012;4;7;18;n/d;n/d;n/d;12;11;12;18;12;n/d;n/d;n/d
06/09/2012;5;8;24;n/d;n/d;n/d;14;13;10;25;12;n/d;n/d;n/d
06/09/2012;6;12;30;n/d;n/d;n/d;17;12;11;31;11;n/d;n/d;n/d
06/09/2012;7;12;33;n/d;n/d;n/d;20;17;11;27;13;n/d;n/d;n/d
06/09/2012;8;13;32;n/d;n/d;n/d;21;20;16;26;14;n/d;n/d;n/d
06/09/2012;9;17;33;n/d;n/d;n/d;19;17;14;n/d;16;n/d;n/d;n/d
06/09/2012;10;13;n/d;n/d;n/d;n/d;17;16;10;n/d;11;n/d;n/d;n/d
06/09/2012;11;10;28;n/d;n/d;n/d;17;17;11;n/d;9;n/d;n/d;n/d
06/09/2012;12;10;26;n/d;n/d;n/d;16;14;11;n/d;10;n/d;n/d;n/d
06/09/2012;13;10;26;n/d;n/d;n/d;14;14;10;30;11;n/d;n/d;n/d
06/09/2012;14;11;22;n/d;n/d;n/d;16;14;10;34;11;n/d;n/d;n/d
06/09/2012;15;13;21;n/d;n/d;n/d;18;16;16;36;12;n/d;n/d;n/d
06/09/2012;16;10;21;n/d;n/d;n/d;17;14;12;36;12;n/d;n/d;n/d
06/09/2012;17;9;23;n/d;n/d;n/d;15;11;10;33;12;n/d;n/d;n/d
06/09/2012;18;10;21;n/d;n/d;n/d;20;13;9;32;11;n/d;n/d;n/d
06/09/2012;19;10;22;n/d;n/d;n/d;23;15;9;31;11;n/d;n/d;n/d
06/09/2012;20;11;24;n/d;n/d;n/d;21;19;10;32;12;n/d;n/d;n/d
06/09/2012;21;13;26;n/d;n/d;n/d;19;18;16;28;11;n/d;n/d;n/d
06/09/2012;22;13;22;n/d;n/d;n/d;19;17;13;35;12;n/d;n/d;n/d
06/09/2012;23;12;20;n/d;n/d;n/d;14;14;12;41;12;n/d;n/d;n/d
06/09/2012;24;13;21;n/d;n/d;n/d;18;11;12;34;11;n/d;n/d;n/d
07/09/2012;1;12;23;n/d;n/d;n/d;21;13;12;37;10;n/d;n/d;n/d
07/09/2012;2;11;22;n/d;n/d;n/d;9;17;12;34;11;n/d;n/d;n/d
07/09/2012;3;11;19;n/d;n/d;n/d;11;15;11;29;10;n/d;n/d;n/d
07/09/2012;4;13;22;n/d;n/d;n/d;13;12;11;28;10;n/d;n/d;n/d
07/09/2012;5;15;42;n/d;n/d;n/d;14;15;13;35;11;n/d;n/d;n/d
07/09/2012;6;21;53;n/d;n/d;n/d;17;14;18;48;15;n/d;n/d;n/d
07/09/2012;7;23;58;n/d;n/d;n/d;19;23;18;48;18;n/d;n/d;n/d
07/09/2012;8;23;54;n/d;n/d;n/d;26;26;24;36;19;n/d;n/d;n/d
07/09/2012;9;26;47;n/d;n/d;n/d;24;27;28;34;19;n/d;n/d;n/d
07/09/2012;10;26;35;n/d;n/d;n/d;24;25;27;37;16;n/d;n/d;n/d
07/09/2012;11;17;32;n/d;n/d;n/d;24;24;21;34;13;n/d;n/d;n/d
07/09/2012;12;16;32;n/d;n/d;n/d;20;22;21;35;14;n/d;n/d;n/d
07/09/2012;13;16;25;n/d;n/d;n/d;18;19;19;33;13;n/d;n/d;n/d
07/09/2012;14;17;25;n/d;n/d;n/d;17;19;14;34;13;n/d;n/d;n/d
07/09/2012;15;15;27;n/d;n/d;n/d;18;20;14;39;13;n/d;n/d;n/d
07/09/2012;16;16;28;n/d;n/d;n/d;14;18;14;37;12;n/d;n/d;n/d
07/09/2012;17;14;24;n/d;n/d;n/d;14;16;18;37;13;n/d;n/d;n/d
07/09/2012;18;11;28;n/d;n/d;n/d;13;15;15;37;12;n/d;n/d;n/d
07/09/2012;19;14;33;n/d;n/d;n/d;15;19;21;36;13;n/d;n/d;n/d
07/09/2012;20;20;35;n/d;n/d;n/d;21;26;n/d;48;16;n/d;n/d;n/d
07/09/2012;21;27;40;n/d;n/d;n/d;22;29;24;74;18;n/d;n/d;n/d
07/09/2012;22;25;46;n/d;n/d;n/d;24;34;27;61;18;n/d;n/d;n/d
07/09/2012;23;28;70;n/d;n/d;n/d;17;32;30;55;17;n/d;n/d;n/d
07/09/2012;24;27;58;n/d;n/d;n/d;16;35;26;50;16;n/d;n/d;n/d
08/09/2012;1;31;53;n/d;n/d;n/d;17;32;22;42;15;n/d;n/d;n/d
08/09/2012;2;33;38;n/d;n/d;n/d;11;21;23;42;16;n/d;n/d;n/d
08/09/2012;3;31;31;n/d;n/d;n/d;11;28;21;42;17;n/d;n/d;n/d
08/09/2012;4;25;26;n/d;n/d;n/d;13;26;21;40;16;n/d;n/d;n/d
08/09/2012;5;24;28;n/d;n/d;n/d;15;19;19;42;18;n/d;n/d;n/d
08/09/2012;6;27;35;n/d;n/d;n/d;14;21;18;46;20;n/d;n/d;n/d
08/09/2012;7;26;42;n/d;n/d;n/d;16;19;20;44;19;n/d;n/d;n/d
08/09/2012;8;29;42;n/d;n/d;n/d;19;18;19;37;20;n/d;n/d;n/d
08/09/2012;9;25;39;n/d;n/d;n/d;25;21;24;40;18;n/d;n/d;n/d
08/09/2012;10;20;31;n/d;n/d;n/d;22;24;16;38;15;n/d;n/d;n/d
08/09/2012;11;17;31;n/d;n/d;n/d;19;22;12;33;13;n/d;n/d;n/d
08/09/2012;12;14;23;n/d;n/d;n/d;18;20;9;32;11;n/d;n/d;n/d
08/09/2012;13;12;18;n/d;n/d;n/d;20;16;10;30;11;n/d;n/d;n/d
08/09/2012;14;11;17;n/d;n/d;n/d;14;13;8;29;9;n/d;n/d;n/d
08/09/2012;15;9;16;n/d;n/d;n/d;12;11;7;28;9;n/d;n/d;n/d
08/09/2012;16;8;15;n/d;n/d;n/d;14;11;8;26;9;n/d;n/d;n/d
08/09/2012;17;8;18;n/d;n/d;n/d;14;10;7;26;9;n/d;n/d;n/d
08/09/2012;18;8;20;n/d;n/d;n/d;17;10;5;25;8;n/d;n/d;n/d
08/09/2012;19;21;34;n/d;n/d;n/d;27;13;10;25;10;n/d;n/d;n/d
08/09/2012;20;35;33;n/d;n/d;n/d;38;22;21;30;17;n/d;n/d;n/d
08/09/2012;21;26;29;n/d;n/d;n/d;40;24;20;44;20;n/d;n/d;n/d
08/09/2012;22;25;32;n/d;n/d;n/d;28;31;22;179;22;n/d;n/d;n/d
08/09/2012;23;24;32;n/d;n/d;n/d;23;32;28;341;26;n/d;n/d;n/d
08/09/2012;24;23;35;n/d;n/d;n/d;21;28;26;318;22;n/d;n/d;n/d
09/09/2012;1;24;30;n/d;n/d;n/d;23;33;27;240;20;n/d;n/d;n/d
09/09/2012;2;25;33;n/d;n/d;n/d;12;34;27;169;20;n/d;n/d;n/d
09/09/2012;3;29;32;n/d;n/d;n/d;8;29;25;114;19;n/d;n/d;n/d
09/09/2012;4;33;26;n/d;n/d;n/d;17;26;24;88;20;n/d;n/d;n/d
09/09/2012;5;29;28;n/d;n/d;n/d;19;28;29;72;20;n/d;n/d;n/d
09/09/2012;6;22;26;n/d;n/d;n/d;14;28;23;64;18;n/d;n/d;n/d
09/09/2012;7;30;34;n/d;n/d;n/d;15;23;19;65;16;n/d;n/d;n/d
09/09/2012;8;26;37;n/d;n/d;n/d;13;21;16;44;15;n/d;n/d;n/d
09/09/2012;9;30;34;n/d;n/d;n/d;12;20;16;28;14;n/d;n/d;n/d
09/09/2012;10;24;34;n/d;n/d;n/d;21;22;13;27;13;n/d;n/d;n/d
09/09/2012;11;20;37;n/d;n/d;n/d;20;23;16;28;15;n/d;n/d;n/d
09/09/2012;12;19;37;n/d;n/d;n/d;15;23;16;30;13;n/d;n/d;n/d
09/09/2012;13;19;33;n/d;n/d;n/d;23;22;14;22;12;n/d;n/d;n/d
09/09/2012;14;12;27;n/d;n/d;n/d;18;13;7;16;9;n/d;n/d;n/d
09/09/2012;15;9;22;n/d;n/d;n/d;15;13;6;18;10;n/d;n/d;n/d
09/09/2012;16;10;24;n/d;n/d;n/d;12;14;7;22;10;n/d;n/d;n/d
09/09/2012;17;8;30;n/d;n/d;n/d;16;12;7;22;9;n/d;n/d;n/d
09/09/2012;18;10;28;n/d;n/d;n/d;14;14;6;29;8;n/d;n/d;n/d
09/09/2012;19;13;36;n/d;n/d;n/d;24;20;10;46;9;n/d;n/d;n/d
09/09/2012;20;16;45;n/d;n/d;n/d;25;28;16;52;13;n/d;n/d;n/d
09/09/2012;21;16;46;n/d;n/d;n/d;21;32;18;53;15;n/d;n/d;n/d
09/09/2012;22;13;39;n/d;n/d;n/d;19;25;16;45;17;n/d;n/d;n/d
09/09/2012;23;14;36;n/d;n/d;n/d;21;21;15;38;18;n/d;n/d;n/d
09/09/2012;24;14;33;n/d;n/d;n/d;17;18;16;36;18;n/d;n/d;n/d
10/09/2012;1;16;27;n/d;n/d;n/d;12;18;19;37;16;n/d;n/d;n/d
10/09/2012;2;17;27;n/d;n/d;n/d;14;18;19;35;15;n/d;n/d;n/d
10/09/2012;3;16;27;n/d;n/d;n/d;15;20;17;30;16;n/d;n/d;n/d
10/09/2012;4;17;36;n/d;n/d;n/d;16;21;17;29;15;n/d;n/d;n/d
10/09/2012;5;18;44;n/d;n/d;n/d;19;20;18;35;17;n/d;n/d;n/d
10/09/2012;6;19;51;n/d;n/d;n/d;27;21;19;54;19;n/d;n/d;n/d
10/09/2012;7;18;58;n/d;n/d;n/d;30;21;21;52;20;n/d;n/d;n/d
10/09/2012;8;16;56;n/d;n/d;n/d;37;20;20;41;19;n/d;n/d;n/d
10/09/2012;9;16;48;n/d;n/d;n/d;34;28;22;38;18;n/d;n/d;n/d
10/09/2012;10;17;45;n/d;n/d;n/d;31;24;24;33;17;n/d;n/d;n/d
10/09/2012;11;15;46;n/d;n/d;n/d;26;24;22;31;7;n/d;n/d;n/d
10/09/2012;12;15;42;n/d;n/d;n/d;25;23;23;30;9;n/d;n/d;n/d
10/09/2012;13;n/d;44;n/d;n/d;n/d;27;29;22;30;15;n/d;n/d;n/d
10/09/2012;14;n/d;40;n/d;n/d;n/d;26;24;18;28;10;n/d;n/d;n/d
10/09/2012;15;n/d;37;n/d;n/d;n/d;26;21;16;28;13;n/d;n/d;n/d
10/09/2012;16;17;40;n/d;n/d;n/d;29;20;16;29;14;n/d;n/d;n/d
10/09/2012;17;15;40;n/d;n/d;n/d;27;21;15;31;12;n/d;n/d;n/d
10/09/2012;18;15;39;n/d;n/d;n/d;25;19;17;33;14;n/d;n/d;n/d
10/09/2012;19;17;39;n/d;n/d;n/d;23;20;18;34;18;n/d;n/d;n/d
10/09/2012;20;18;35;n/d;n/d;n/d;23;21;18;34;12;n/d;n/d;n/d
10/09/2012;21;17;37;n/d;n/d;n/d;27;22;17;35;7;n/d;n/d;n/d
10/09/2012;22;16;36;n/d;n/d;n/d;26;23;19;29;12;n/d;n/d;n/d
10/09/2012;23;15;34;n/d;n/d;n/d;21;22;17;31;20;n/d;n/d;n/d
10/09/2012;24;17;31;n/d;n/d;n/d;22;19;19;28;16;n/d;n/d;n/d
11/09/2012;1;19;24;n/d;n/d;n/d;18;20;17;26;17;n/d;n/d;n/d
11/09/2012;2;15;24;n/d;n/d;n/d;18;17;19;27;17;n/d;n/d;n/d
11/09/2012;3;15;24;n/d;n/d;n/d;17;15;19;26;18;n/d;n/d;n/d
11/09/2012;4;14;22;n/d;n/d;n/d;16;13;12;27;15;n/d;n/d;n/d
11/09/2012;5;10;38;n/d;n/d;n/d;25;9;11;35;14;n/d;n/d;n/d
11/09/2012;6;5;48;n/d;n/d;n/d;30;9;10;45;14;n/d;n/d;n/d
11/09/2012;7;7;54;n/d;n/d;n/d;28;10;11;40;11;n/d;n/d;n/d
11/09/2012;8;5;57;n/d;n/d;n/d;25;11;10;31;11;n/d;n/d;n/d
11/09/2012;9;5;49;n/d;n/d;n/d;17;19;11;28;10;n/d;n/d;n/d
11/09/2012;10;4;n/d;n/d;n/d;n/d;16;12;7;28;11;n/d;n/d;n/d
11/09/2012;11;7;n/d;n/d;n/d;n/d;17;14;9;27;9;n/d;n/d;n/d
11/09/2012;12;3;n/d;n/d;n/d;n/d;17;11;12;24;9;n/d;n/d;n/d
11/09/2012;13;4;n/d;n/d;n/d;n/d;20;10;8;30;9;n/d;n/d;n/d
11/09/2012;14;7;n/d;n/d;n/d;n/d;17;11;7;33;9;n/d;n/d;n/d
11/09/2012;15;8;n/d;n/d;n/d;n/d;9;8;2;29;13;n/d;n/d;n/d
11/09/2012;16;5;n/d;n/d;n/d;n/d;7;9;6;25;10;n/d;n/d;n/d
11/09/2012;17;8;n/d;n/d;n/d;n/d;10;13;10;24;8;n/d;n/d;n/d
11/09/2012;18;5;n/d;n/d;n/d;n/d;10;10;8;24;9;n/d;n/d;n/d
11/09/2012;19;3;28;n/d;n/d;n/d;12;8;5;28;9;n/d;n/d;n/d
11/09/2012;20;7;25;n/d;n/d;n/d;12;10;6;26;9;n/d;n/d;n/d
11/09/2012;21;6;21;n/d;n/d;n/d;8;10;6;21;7;n/d;n/d;n/d
11/09/2012;22;6;22;n/d;n/d;n/d;13;7;4;13;8;n/d;n/d;n/d
11/09/2012;23;1;17;n/d;n/d;n/d;14;7;6;10;8;n/d;n/d;n/d
11/09/2012;24;3;12;n/d;n/d;n/d;11;7;5;8;7;n/d;n/d;n/d
12/09/2012;1;3;6;n/d;n/d;n/d;3;8;6;7;6;n/d;n/d;n/d
12/09/2012;2;2;5;n/d;n/d;n/d;8;5;6;7;7;n/d;n/d;n/d
12/09/2012;3;3;13;n/d;n/d;n/d;4;6;4;7;6;n/d;n/d;n/d
12/09/2012;4;4;14;n/d;n/d;n/d;12;6;2;11;7;n/d;n/d;n/d
12/09/2012;5;5;30;n/d;n/d;n/d;11;6;5;18;6;n/d;n/d;n/d
12/09/2012;6;6;41;n/d;n/d;n/d;12;4;5;28;10;n/d;n/d;n/d
12/09/2012;7;4;38;n/d;n/d;n/d;10;5;6;29;10;n/d;n/d;n/d
12/09/2012;8;7;33;n/d;n/d;n/d;9;9;7;26;8;n/d;n/d;n/d
12/09/2012;9;7;35;n/d;n/d;n/d;5;8;5;21;8;n/d;n/d;n/d
12/09/2012;10;1;n/d;n/d;n/d;n/d;12;7;4;17;6;n/d;n/d;n/d
12/09/2012;11;2;n/d;n/d;n/d;n/d;8;6;3;16;6;n/d;n/d;n/d
12/09/2012;12;3;22;n/d;n/d;n/d;10;6;8;17;5;n/d;n/d;n/d
12/09/2012;13;3;28;n/d;n/d;n/d;12;8;7;17;6;n/d;n/d;n/d
12/09/2012;14;2;35;n/d;n/d;n/d;9;7;5;16;6;n/d;n/d;n/d
12/09/2012;15;2;32;n/d;n/d;n/d;12;9;6;20;6;n/d;n/d;n/d
12/09/2012;16;6;31;n/d;n/d;n/d;14;9;7;19;6;n/d;n/d;n/d
12/09/2012;17;4;35;n/d;n/d;n/d;12;9;2;15;6;n/d;n/d;n/d
12/09/2012;18;2;30;n/d;n/d;n/d;11;10;3;15;6;n/d;n/d;n/d
12/09/2012;19;3;23;n/d;n/d;n/d;8;8;6;17;6;n/d;n/d;n/d
12/09/2012;20;3;21;n/d;n/d;n/d;7;7;7;17;7;n/d;n/d;n/d
12/09/2012;21;2;16;n/d;n/d;n/d;4;7;5;14;7;n/d;n/d;n/d
12/09/2012;22;3;20;n/d;n/d;n/d;4;7;5;12;7;n/d;n/d;n/d
12/09/2012;23;2;16;n/d;n/d;n/d;3;5;5;8;6;n/d;n/d;n/d
12/09/2012;24;3;12;n/d;n/d;n/d;9;4;3;8;7;n/d;n/d;n/d
13/09/2012;1;4;11;n/d;n/d;n/d;9;6;2;7;5;n/d;n/d;n/d
13/09/2012;2;5;10;n/d;n/d;n/d;8;5;3;7;6;n/d;n/d;n/d
13/09/2012;3;2;12;n/d;n/d;n/d;5;4;4;7;5;n/d;n/d;n/d
